order_item_id,order_id,product_id,quantity,price_per_unit
1,1297,39,9,146.06
2,1557,63,10,364.63
3,3546,56,3,248.8
4,490,46,2,42.78
5,2649,91,8,307.83
6,1159,31,9,472.24
7,1773,54,8,16.35
8,2524,81,3,175.9
9,2545,88,10,220.21
10,999,77,3,269.52
11,2795,93,6,405.49
12,1050,48,10,485.51
13,518,3,8,191.3
14,2017,27,6,347.26
15,2561,82,8,395.54
16,4547,44,10,398.97
17,1593,17,6,392.98
18,4689,30,10,308.6
19,2041,63,10,240.18
20,159,41,9,441.56
21,3147,97,3,315.57
22,667,68,8,236.72
23,2180,9,8,200.89
24,1583,99,5,358.83
25,2981,100,1,242.14
26,1830,82,1,170.34
27,3954,72,3,394.01
28,2622,63,6,306.34
29,4394,26,4,479.29
30,4896,78,2,154.85
31,497,95,4,266.52
32,4130,37,4,397.45
33,3466,90,1,156.11
34,1674,19,5,22.39
35,3453,11,6,237.82
36,1210,58,7,282.08
37,4865,57,6,62.79
38,2241,59,5,106.91
39,4969,59,5,89.82
40,1053,42,1,70.72
41,2675,71,8,190.72
42,2583,93,7,279.56
43,3558,83,6,203.81
44,2676,79,1,325.37
45,2655,73,10,29.3
46,4192,8,3,253.37
47,557,18,3,60.1
48,1339,92,4,55.01
49,2952,46,6,49.77
50,2815,97,2,251.3
51,4466,8,9,214.01
52,3244,89,3,278.57
53,733,27,8,87.94
54,2137,30,4,37.69
55,4569,4,1,325.02
56,1848,62,1,30.67
57,1906,20,3,255.29
58,2646,50,7,19.44
59,2373,64,1,338.12
60,3400,71,2,29.66
61,4831,5,4,122.46
62,4027,1,6,353.89
63,4765,48,9,450.3
64,1345,51,4,84.61
65,61,81,10,147.89
66,4557,48,9,200.33
67,1652,97,10,135.58
68,1604,42,5,202.39
69,2338,58,1,228.32
70,4193,99,7,110.25
71,924,6,7,404.27
72,1685,26,10,370.49
73,2447,89,4,444.46
74,2486,47,8,36.64
75,1883,73,5,116.23
76,196,40,1,116.05
77,1483,43,4,254.8
78,3184,93,6,234.36
79,3202,78,3,461.2
80,3934,72,10,149.82
81,2036,10,10,62.56
82,3,4,10,34.51
83,92,36,1,158.69
84,3125,94,10,480.99
85,797,7,6,115.5
86,1563,55,6,47.29
87,3421,84,1,155.76
88,287,16,5,79.5
89,3744,27,2,460.51
90,249,61,3,17.03
91,706,93,4,233.07
92,4750,89,9,143.84
93,185,90,10,245.07
94,1256,28,2,204.79
95,3092,4,1,253.74
96,3816,53,3,486.72
97,4725,6,2,480.12
98,2301,91,5,362.25
99,1661,35,1,338.91
100,1541,31,8,407.07
101,362,73,7,283.88
102,4003,30,1,150.39
103,725,77,6,233.57
104,3871,70,3,192.9
105,3042,93,9,274.98
106,2628,95,6,209.43
107,4754,52,6,239.07
108,2847,99,5,82.34
109,4052,87,9,209.83
110,3537,12,10,134.07
111,1128,43,6,326.28
112,3693,97,9,432.28
113,1346,6,6,258.11
114,1189,77,6,274.7
115,1307,74,3,488.84
116,1687,89,7,50.05
117,3433,15,9,276.56
118,4257,14,10,11.98
119,4510,86,3,372.46
120,2744,63,2,169.49
121,3059,71,7,266.33
122,3218,29,10,182.06
123,3343,89,2,120.65
124,3717,20,4,360.94
125,4133,14,8,80.73
126,592,89,5,128.5
127,3327,39,4,275.56
128,792,25,1,17.95
129,2424,16,4,101.0
130,585,9,5,231.77
131,975,55,6,334.18
132,87,90,10,157.11
133,3177,48,4,158.86
134,4831,62,10,300.73
135,4026,5,8,166.62
136,255,33,8,431.98
137,3144,97,9,387.2
138,3463,89,10,313.91
139,2876,88,8,497.37
140,3113,5,8,381.93
141,712,61,5,276.43
142,680,32,2,232.8
143,2764,31,10,492.16
144,282,42,5,280.79
145,3697,28,10,211.2
146,85,88,3,300.78
147,232,65,8,43.86
148,1485,60,5,351.59
149,3180,69,1,134.07
150,964,90,9,250.64
151,3701,38,3,29.51
152,4925,43,7,63.74
153,1269,10,4,246.25
154,2041,1,7,390.11
155,1447,99,7,31.5
156,1497,29,6,434.13
157,4781,64,4,359.78
158,952,13,3,78.21
159,4958,73,1,224.67
160,3004,90,7,20.06
161,4303,89,6,321.07
162,872,54,8,26.43
163,3575,72,7,42.8
164,715,34,6,242.57
165,4155,32,3,69.3
166,1328,12,10,101.53
167,1610,58,9,192.93
168,2155,62,2,485.72
169,1520,75,7,66.77
170,326,30,4,82.22
171,1092,96,7,15.48
172,492,66,1,65.25
173,2179,75,9,14.34
174,1123,41,4,431.69
175,1750,25,8,244.35
176,1755,13,3,200.05
177,4436,10,3,336.87
178,4177,19,2,244.07
179,595,73,3,131.06
180,3388,81,6,469.43
181,2151,53,1,378.66
182,352,42,7,23.56
183,3062,51,8,307.15
184,1841,96,3,244.89
185,4175,53,3,128.26
186,4271,37,8,388.82
187,3546,77,1,214.49
188,4602,11,3,388.73
189,328,48,5,202.7
190,3806,84,6,158.71
191,4386,78,6,460.47
192,3850,66,8,199.19
193,4830,89,9,462.49
194,4958,77,10,77.26
195,2762,12,8,487.86
196,4365,67,10,319.37
197,2062,81,5,467.74
198,2368,77,9,121.64
199,2656,31,10,103.72
200,2510,25,6,263.66
201,3372,36,5,302.9
202,1543,99,10,446.37
203,1141,99,5,103.08
204,2962,92,9,280.92
205,1675,60,10,264.86
206,961,93,5,322.91
207,1686,77,6,99.71
208,4072,48,4,201.9
209,2218,73,8,273.33
210,1199,33,10,45.3
211,1020,49,9,492.1
212,27,9,4,407.88
213,2088,64,8,468.03
214,4511,75,5,260.45
215,3445,26,5,34.99
216,3504,81,8,301.68
217,3903,56,7,163.44
218,1145,24,2,187.05
219,447,6,2,145.9
220,4494,69,5,72.44
221,786,96,7,110.4
222,4642,8,1,64.6
223,2271,37,7,127.93
224,1806,80,10,289.6
225,2186,71,6,421.98
226,1243,3,9,296.22
227,1802,22,7,109.54
228,143,21,2,289.91
229,2210,63,2,56.88
230,3330,29,4,235.16
231,1357,23,4,146.94
232,26,31,5,223.24
233,4913,50,8,114.56
234,823,11,7,359.09
235,3626,20,7,426.79
236,3115,3,9,384.88
237,1681,87,8,223.96
238,4293,44,6,20.15
239,4158,79,7,420.73
240,4969,27,6,80.81
241,634,77,7,92.51
242,3310,27,4,163.96
243,3319,36,4,360.32
244,1892,49,10,440.09
245,199,88,10,129.6
246,530,58,1,200.55
247,2828,47,7,20.04
248,3575,93,8,455.5
249,733,56,5,180.63
250,2205,47,5,244.48
251,1381,29,10,326.05
252,4908,68,4,424.49
253,3125,47,1,382.75
254,738,91,3,55.26
255,4529,7,5,48.84
256,2091,58,3,153.64
257,3571,36,3,122.25
258,2553,22,9,42.72
259,756,80,1,290.58
260,1442,37,9,240.42
261,3468,22,4,18.42
262,1601,78,2,43.02
263,832,35,3,271.64
264,3790,71,6,364.37
265,1252,69,3,130.37
266,72,42,3,385.51
267,4205,3,9,257.21
268,466,51,3,91.83
269,3843,20,3,128.54
270,4989,48,10,393.75
271,3789,32,8,95.82
272,901,92,4,89.42
273,4965,97,1,42.87
274,3092,18,1,150.73
275,4333,63,7,279.65
276,3309,68,8,481.43
277,4258,46,10,292.96
278,3320,97,5,266.5
279,3340,22,9,430.38
280,1035,5,4,45.97
281,3011,39,2,306.15
282,3379,49,7,156.76
283,196,41,8,107.36
284,132,28,7,389.79
285,1206,58,10,397.36
286,1146,84,5,204.22
287,1166,3,4,452.8
288,2072,63,7,238.51
289,3811,48,4,237.02
290,3407,7,4,474.39
291,830,38,6,36.03
292,3811,50,7,48.28
293,2409,46,9,280.29
294,332,62,2,182.72
295,1585,40,9,91.31
296,830,19,9,142.11
297,203,66,4,319.03
298,3042,4,8,207.67
299,3771,45,10,170.01
300,3015,7,9,296.95
301,3592,98,8,222.37
302,4211,5,9,367.05
303,4640,65,2,499.34
304,1257,49,6,333.7
305,3604,94,5,80.54
306,1609,12,10,198.11
307,3231,29,1,31.57
308,100,18,4,215.0
309,1587,54,3,219.19
310,4655,33,4,10.28
311,543,21,1,140.1
312,3954,9,4,239.47
313,1357,87,8,65.98
314,3766,44,10,366.68
315,3049,61,5,292.75
316,4489,95,6,319.45
317,2675,68,3,337.2
318,4832,67,5,405.03
319,2010,29,1,222.6
320,2230,43,9,157.28
321,3316,7,10,157.17
322,2111,14,3,281.96
323,1794,32,8,453.54
324,808,90,9,257.86
325,3381,96,7,215.45
326,2714,39,2,128.82
327,3942,85,2,389.73
328,467,56,7,409.38
329,1262,54,8,489.4
330,2735,48,2,160.92
331,3986,63,7,298.33
332,3321,56,4,150.37
333,1351,44,3,303.01
334,4862,49,2,59.32
335,675,95,1,83.52
336,3511,64,2,467.84
337,1245,7,1,240.89
338,268,18,5,492.01
339,3005,87,6,336.37
340,717,6,3,447.51
341,2705,13,1,498.19
342,675,6,10,10.1
343,1575,22,7,413.85
344,4018,14,5,300.75
345,4310,10,10,149.38
346,533,60,10,427.67
347,1290,83,9,57.1
348,4969,29,5,25.7
349,2775,86,3,350.51
350,3707,46,9,160.14
351,3286,54,4,399.19
352,2534,86,6,113.17
353,3779,20,3,28.03
354,482,76,2,82.36
355,3678,17,3,364.16
356,2315,99,6,346.99
357,4746,31,8,223.31
358,1005,83,9,367.4
359,2479,91,4,448.84
360,278,47,3,201.49
361,2827,9,1,25.38
362,2066,50,3,408.13
363,3798,85,7,394.03
364,2651,58,3,409.73
365,3460,85,6,479.45
366,4642,90,3,13.64
367,1345,33,7,55.68
368,2741,19,1,443.27
369,1967,66,10,252.73
370,2277,26,3,214.76
