order_id,customer_id,order_date,total_amount,status
1,71,2025-01-22,1198.17,Shipped
2,414,2024-05-30,257.38,Shipped
3,593,2024-02-24,1197.15,Pending
4,430,2024-07-02,1321.6,Delivered
5,958,2024-07-06,536.32,Delivered
6,245,2024-11-23,545.92,Shipped
7,688,2024-08-08,1298.09,Cancelled
8,324,2024-08-02,1859.46,Pending
9,10,2025-01-05,927.41,Pending
10,76,2025-01-03,1084.52,Delivered
11,136,2024-03-19,1867.85,Pending
12,901,2024-04-20,503.68,Delivered
13,162,2024-06-27,887.61,Delivered
14,627,2024-03-10,1968.03,Pending
15,684,2024-10-22,1637.87,Delivered
16,955,2024-07-01,1333.51,Shipped
17,271,2024-08-28,248.55,Pending
18,761,2024-09-14,1115.38,Delivered
19,289,2024-11-21,1217.56,Delivered
20,209,2024-02-25,1381.24,Delivered
21,518,2024-12-25,987.29,Pending
22,95,2024-05-20,1275.88,Delivered
23,46,2024-03-19,27.02,Shipped
24,653,2025-02-01,1960.0,Shipped
25,760,2024-08-27,894.83,Cancelled
26,575,2025-01-04,39.15,Pending
27,968,2024-10-10,1768.55,Shipped
28,559,2024-04-13,91.34,Delivered
29,597,2024-12-04,1114.0,Cancelled
30,131,2025-01-08,102.82,Delivered
31,921,2024-08-23,1867.51,Pending
32,921,2025-01-16,728.46,Shipped
33,683,2025-01-26,223.53,Cancelled
34,998,2024-02-13,1248.91,Shipped
35,948,2024-06-18,1861.16,Shipped
36,1000,2024-03-06,1603.78,Shipped
37,903,2024-07-18,836.34,Shipped
38,755,2024-07-14,1850.48,Cancelled
39,822,2024-07-25,1346.42,Shipped
40,274,2024-02-25,335.21,Pending
41,392,2024-11-10,1746.89,Cancelled
42,228,2024-09-06,415.15,Cancelled
43,359,2024-12-16,624.28,Shipped
44,229,2024-03-24,66.86,Shipped
45,409,2025-01-04,669.96,Pending
46,991,2024-04-18,1551.19,Delivered
47,657,2024-05-03,1028.62,Delivered
48,962,2024-09-20,74.65,Delivered
49,183,2024-03-29,1169.57,Delivered
50,40,2024-08-16,234.64,Cancelled
51,354,2024-08-31,1462.52,Delivered
52,447,2024-09-10,1220.29,Pending
53,395,2024-06-02,1801.02,Shipped
54,261,2024-12-04,107.89,Cancelled
55,2,2024-05-25,1049.44,Shipped
56,373,2024-08-15,873.97,Delivered
57,639,2024-10-12,641.55,Pending
58,738,2024-10-04,1802.09,Delivered
59,683,2024-02-22,828.62,Cancelled
60,714,2024-09-22,605.4,Shipped
61,197,2024-09-12,852.48,Cancelled
62,694,2024-07-06,1501.31,Shipped
63,631,2024-12-15,1146.83,Cancelled
64,562,2024-04-24,1670.78,Delivered
65,294,2024-07-19,436.16,Delivered
66,477,2024-03-12,894.74,Shipped
67,524,2024-06-14,956.91,Shipped
68,675,2024-04-03,187.9,Delivered
69,96,2024-08-10,1640.48,Shipped
70,689,2024-07-09,634.63,Shipped
71,151,2024-10-03,68.36,Shipped
72,487,2024-06-13,1230.32,Pending
73,467,2024-12-27,840.59,Shipped
74,736,2024-09-10,1398.78,Cancelled
75,410,2024-12-19,503.09,Pending
76,915,2024-12-20,1506.91,Pending
77,798,2025-01-06,861.79,Shipped
78,824,2025-01-07,1916.77,Cancelled
79,52,2024-05-28,1123.66,Pending
80,468,2024-06-05,284.01,Cancelled
81,684,2024-06-05,1071.64,Delivered
82,973,2024-04-09,1515.4,Cancelled
83,628,2024-02-14,1633.71,Cancelled
84,851,2024-04-05,1815.57,Cancelled
85,919,2024-04-11,335.13,Cancelled
86,461,2024-12-15,533.2,Shipped
87,861,2024-05-19,1282.57,Cancelled
