payment_id,order_id,payment_date,payment_method,amount
1,820,2024-07-10,Bank Transfer,1334.34
2,4213,2024-02-10,Credit Card,865.9
3,1442,2024-12-14,PayPal,1884.03
4,4890,2024-03-17,Bank Transfer,407.04
5,2478,2024-09-21,PayPal,512.64
6,3427,2024-03-28,PayPal,217.63
7,1778,2024-02-21,Bank Transfer,1933.37
8,910,2024-09-30,Credit Card,840.26
9,2383,2024-02-13,PayPal,181.83
10,824,2024-06-05,PayPal,1655.55
11,2611,2024-09-09,PayPal,497.19
12,3709,2024-08-28,Bank Transfer,59.28
13,1941,2024-07-25,PayPal,949.85
14,1041,2024-07-11,PayPal,1407.57
15,3964,2024-11-14,Credit Card,846.86
16,3071,2024-11-17,Credit Card,1613.08
17,1427,2024-02-17,Credit Card,917.79
18,4331,2024-11-25,Bank Transfer,619.1
19,4,2024-07-29,Bank Transfer,1381.19
20,3696,2024-04-29,Credit Card,1974.81
21,3492,2025-01-07,PayPal,1972.19
22,432,2024-11-24,PayPal,196.36
23,3523,2024-04-08,Credit Card,1233.46
24,534,2024-07-18,Bank Transfer,1516.71
25,867,2024-06-08,Bank Transfer,766.49
26,3636,2024-06-06,Bank Transfer,1852.71
27,3705,2025-02-01,PayPal,1491.91
28,4573,2024-11-28,PayPal,1386.69
29,4026,2024-07-31,PayPal,48.26
30,959,2024-12-05,Bank Transfer,1644.92
31,2979,2024-12-03,PayPal,508.59
32,989,2024-09-12,PayPal,1949.51
33,2673,2025-01-18,Credit Card,535.78
34,843,2024-09-17,PayPal,242.15
35,1917,2024-10-09,Bank Transfer,1694.44
36,2228,2024-11-03,Credit Card,468.86
37,3818,2024-04-25,Credit Card,1693.89
38,3906,2024-10-24,PayPal,577.06
39,3605,2024-08-09,PayPal,1640.68
40,471,2024-08-26,Bank Transfer,602.66
41,2114,2024-06-26,Credit Card,724.45
42,507,2024-10-04,Bank Transfer,718.22
43,1611,2024-06-29,PayPal,1360.9
44,461,2024-10-10,Credit Card,1028.72
45,2639,2025-02-07,Credit Card,1024.04
46,4284,2024-05-27,Credit Card,395.86
47,1722,2024-03-15,Credit Card,1243.13
48,3503,2024-08-15,PayPal,1033.25
49,2529,2024-07-25,Credit Card,1868.28
50,4390,2024-12-13,Bank Transfer,1372.59
51,2989,2024-03-02,Bank Transfer,1166.32
52,4969,2024-12-10,PayPal,1766.44
53,3819,2024-12-21,PayPal,509.52
54,2966,2024-10-05,Bank Transfer,1863.72
55,4716,2024-10-26,Credit Card,300.68
56,2210,2024-02-18,Credit Card,985.72
57,3335,2024-09-28,Credit Card,853.45
58,1447,2024-04-25,Bank Transfer,1004.7
59,630,2024-08-19,PayPal,1628.53
60,3582,2024-03-17,PayPal,1725.2
61,2806,2025-01-30,Bank Transfer,1519.62
62,2844,2024-07-19,Credit Card,1218.88
63,3026,2024-06-01,Credit Card,861.48
64,4655,2025-01-29,Bank Transfer,1238.36
65,4117,2025-02-07,Bank Transfer,274.36
66,2160,2024-12-04,Bank Transfer,837.75
67,501,2024-11-09,Bank Transfer,1156.0
68,3783,2024-10-21,Bank Transfer,317.93
69,2733,2024-10-23,PayPal,1395.07
70,2267,2024-06-30,Credit Card,904.41
71,1675,2024-10-13,Bank Transfer,1668.92
72,2452,2024-09-13,Credit Card,188.6
73,4637,2024-03-21,Bank Transfer,255.05
74,1302,2024-02-14,Credit Card,725.32
75,2540,2024-05-29,Bank Transfer,1748.92
76,272,2024-06-23,Bank Transfer,814.73
77,3190,2024-11-26,Credit Card,636.34
78,1169,2024-08-17,Bank Transfer,1908.86
79,2956,2024-12-21,PayPal,538.17
80,2534,2024-05-14,Credit Card,1897.98
81,3032,2024-11-12,Credit Card,1494.3
82,3973,2024-05-24,Bank Transfer,1387.64
83,162,2024-07-20,Credit Card,749.0
84,3784,2024-07-27,PayPal,773.11
85,1897,2024-09-19,Credit Card,1930.16
86,3618,2024-12-29,Bank Transfer,1627.62
87,4002,2024-06-04,PayPal,172.3
88,4,2024-05-18,Bank Transfer,75.75
89,2897,2025-01-29,Credit Card,1250.49
90,2318,2024-08-18,Credit Card,985.58
91,1872,2024-12-12,PayPal,1902.21
92,3344,2024-05-01,Credit Card,737.85
93,343,2024-11-02,PayPal,254.32
94,513,2024-05-09,PayPal,118.75
95,1253,2024-09-05,Bank Transfer,320.06
96,432,2024-07-29,Bank Transfer,304.2
97,2603,2024-12-03,Credit Card,1518.98
98,1726,2024-09-09,Bank Transfer,76.19
99,1470,2025-01-16,Bank Transfer,1382.75
100,367,2024-03-02,Credit Card,1570.43
101,768,2024-11-24,PayPal,893.59
102,3652,2024-12-04,Credit Card,1241.46
103,450,2024-12-10,Bank Transfer,707.92
104,3033,2025-01-20,PayPal,270.57
105,3946,2024-11-11,Bank Transfer,391.82
106,229,2024-06-14,PayPal,1234.13
107,4052,2024-03-30,PayPal,970.58
108,2400,2024-08-21,PayPal,765.95
109,4458,2024-09-18,PayPal,581.43
110,3131,2024-02-20,Credit Card,407.25
111,2013,2024-10-22,Bank Transfer,1125.04
112,2520,2024-06-16,Bank Transfer,1735.69
113,2807,2024-07-09,Credit Card,1150.05
114,345,2024-07-27,Credit Card,1431.63
115,4600,2024-06-21,Credit Card,1588.13
116,4581,2025-01-30,Credit Card,603.28
117,1708,2024-03-14,Credit Card,252.67
118,402,2024-09-10,PayPal,1330.41
119,2087,2024-04-23,Bank Transfer,1718.25
120,2155,2024-07-29,Bank Transfer,101.22
121,3000,2024-09-06,Bank Transfer,1493.66
122,1992,2024-12-15,PayPal,1855.98
123,973,2025-01-21,PayPal,1372.04
124,1593,2024-06-05,Credit Card,583.72
125,1915,2024-11-22,Bank Transfer,1268.35
126,3719,2024-08-01,Credit Card,1103.16
127,1245,2024-07-29,Credit Card,1258.6
128,4353,2024-03-15,Credit Card,202.2
129,3137,2024-09-26,Bank Transfer,53.41
130,3554,2024-09-01,Bank Transfer,392.93
131,1352,2025-02-01,Credit Card,152.72
132,3082,2024-11-27,PayPal,1982.98
133,4269,2024-09-05,Credit Card,1356.82
134,224,2024-08-22,Bank Transfer,1608.8
135,498,2024-05-10,Credit Card,1852.37
136,1930,2024-07-30,Bank Transfer,1123.08
137,3270,2024-05-25,Bank Transfer,1366.25
138,52,2024-05-14,Bank Transfer,298.06
139,2916,2024-12-21,PayPal,1224.13
140,2593,2024-05-21,Credit Card,1569.03
141,3466,2024-06-25,PayPal,555.46
